RecordKey	RecordDate	InvoiceID	Quantity	UnitPrice	TaxRate	TaxAmount	LineProfit	ExtendedPrice	TotalDryItems	TotalChillerItems	Package	Description	ValidFrom	ValidTo
"9125:""The Gu"" red shirt XML tag t-shirt (Black) 6XL"	26/06/2013 00:00	9125	72	18	15	194.4	720	1490.4	72	0	Each	"""The Gu"" red shirt XML tag t-shirt (Black) 6XL"		
9125:32 mm Anti static bubble wrap (Blue) 50m	26/06/2013 00:00	9125	80	105	15	1260	4640	9660	80	0	Each	32 mm Anti static bubble wrap (Blue) 50m		
9125:Furry animal socks (Pink) XL	26/06/2013 00:00	9125	72	5	15	54	252	414	72	0	Pair	Furry animal socks (Pink) XL		
9125:Tape dispenser (Black)	26/06/2013 00:00	9125	70	32	15	336	1050	2576	70	0	Each	Tape dispenser (Black)		
9126:DBA joke mug - two types of DBAs (Black)	26/06/2013 00:00	9126	6	13	15	11.7	51	89.7	6	0	Each	DBA joke cup - two types of DBAs (Black)		
9126:Developer joke mug - fun was unexpected at this time (White)	26/06/2013 00:00	9126	4	13	15	7.8	34	59.8	4	0	Each	Developer joke cup - fun was unexpected at this time (White)		
9126:RC big wheel monster truck with remote control (Black) 1/50 scale	26/06/2013 00:00	9126	4	45	15	27	118	207	4	0	Each	RC big wheel monster truck with remote control (Black) 1/50 scale		
9126:Void fill 400 L bag (White) 400L	26/06/2013 00:00	9126	100	50	15	750	2400	5750	100	0	Each	Void fill 400 L bag (White) 400L		
9127:Animal with big feet slippers (Brown) S	26/06/2013 00:00	9127	1	32	15	4.8	24	36.8	1	0	Each	Animal with big feet slippers (Brown) S		
9127:Pack of 12 action figures (female)	26/06/2013 00:00	9127	1	16	15	2.4	10.5	18.4	1	0	Packet	Pack of 12 action figures (female)		
9128:Halloween skull mask (Gray) XL	26/06/2013 00:00	9128	24	18	15	64.8	72	496.8	24	0	Each	Halloween skull mask (Gray) XL		
9128:Ride on vintage American toy coupe (Black) 1/12 scale	26/06/2013 00:00	9128	7	285	15	299.25	910	2294.25	7	0	Each	Ride on vintage American toy coupe (Black) 1/12 scale		
"9129:""The Gu"" red shirt XML tag t-shirt (Black) 3XL"	26/06/2013 00:00	9129	96	18	15	259.2	960	1987.2	96	0	Each	"""The Gu"" red shirt XML tag t-shirt (Black) 3XL"		
9129:Developer joke mug - a foo walks into a bar (White)	26/06/2013 00:00	9129	6	13	15	11.7	51	89.7	6	0	Each	Developer joke cup - a foo walks into a bar (White)		
"9130:""The Gu"" red shirt XML tag t-shirt (Black) 5XL"	26/06/2013 00:00	9130	96	18	15	259.2	960	1987.2	96	0	Each	"""The Gu"" red shirt XML tag t-shirt (Black) 5XL"		
9130:10 mm Double sided bubble wrap 20m	26/06/2013 00:00	9130	90	30	15	405	1440	3105	90	0	Each	10 mm Double sided bubble wrap 20m		
9130:Pack of 12 action figures (variety)	26/06/2013 00:00	9130	8	16	15	19.2	84	147.2	8	0	Packet	Pack of 12 action figures (variety)		
"9131:""The Gu"" red shirt XML tag t-shirt (Black) XS"	26/06/2013 00:00	9131	24	18	15	64.8	264	496.8	24	0	Each	"""The Gu"" red shirt XML tag t-shirt (Black) XS"		
"9131:""The Gu"" red shirt XML tag t-shirt (Black) XXS"	26/06/2013 00:00	9131	60	18	15	162	660	1242	60	0	Each	"""The Gu"" red shirt XML tag t-shirt (Black) XXS"		
9132:Alien officer hoodie (Black) XXL	26/06/2013 00:00	9132	4	35	15	21	72	161	4	0	Each	Alien officer hoodie (Black) XXL		
9132:USB food flash drive - pizza slice	26/06/2013 00:00	9132	4	32	15	19.2	80	147.2	4	0	Each	USB food flash drive - pizza slice		
9132:Void fill 100 L bag (White) 100L	26/06/2013 00:00	9132	20	12.5	15	37.5	130	287.5	20	0	Each	Void fill 100 L bag (White) 100L		
9133:10 mm Anti static bubble wrap (Blue) 50m	26/06/2013 00:00	9133	90	99	15	1336.5	4860	10246.5	90	0	Each	10 mm Anti static bubble wrap (Blue) 50m		
9133:Ride on toy sedan car (Pink) 1/12 scale	26/06/2013 00:00	9133	5	230	15	172.5	425	1322.5	5	0	Each	Ride on toy sedan car (Pink) 1/12 scale		
9133:Ride on vintage American toy coupe (Black) 1/12 scale	26/06/2013 00:00	9133	7	285	15	299.25	910	2294.25	7	0	Each	Ride on vintage American toy coupe (Black) 1/12 scale		
9133:Tape dispenser (Black)	26/06/2013 00:00	9133	90	32	15	432	1350	3312	90	0	Each	Tape dispenser (Black)		
9133:USB food flash drive - fortune cookie	26/06/2013 00:00	9133	10	32	15	48	200	368	10	0	Each	USB food flash drive - fortune cookie		
9134:RC vintage American toy coupe with remote control (Red) 1/50 scale	26/06/2013 00:00	9134	2	30	15	9	30	69	2	0	Each	RC vintage American toy coupe with remote control (Red) 1/50 scale		
9134:Ride on toy sedan car (Black) 1/12 scale	26/06/2013 00:00	9134	7	230	15	241.5	595	1851.5	7	0	Each	Ride on toy sedan car (Black) 1/12 scale		
9134:Shipping carton (Brown) 305x305x305mm	26/06/2013 00:00	9134	50	3.5	15	26.25	80	201.25	50	0	Each	Shipping carton (Brown) 305x305x305mm		
9134:Small sized bubblewrap roll 10m	26/06/2013 00:00	9134	100	4.5	15	67.5	230	517.5	100	0	Each	Small sized bubblewrap roll 10m		
9134:Tape dispenser (Black)	26/06/2013 00:00	9134	80	32	15	384	1200	2944	80	0	Each	Tape dispenser (Black)		
"9135:""The Gu"" red shirt XML tag t-shirt (Black) 3XL"	26/06/2013 00:00	9135	60	18	15	162	600	1242	60	0	Each	"""The Gu"" red shirt XML tag t-shirt (Black) 3XL"		
9135:Dinosaur battery-powered slippers (Green) S	26/06/2013 00:00	9135	10	32	15	48	240	368	10	0	Each	Dinosaur battery-powered slippers (Green) S		
9135:Furry animal socks (Pink) L	26/06/2013 00:00	9135	96	5	15	72	336	552	96	0	Pair	Furry animal socks (Pink) L		
9135:USB food flash drive - shrimp cocktail	26/06/2013 00:00	9135	5	32	15	24	100	184	5	0	Each	USB food flash drive - shrimp cocktail		
"9136:""The Gu"" red shirt XML tag t-shirt (Black) XXL"	26/06/2013 00:00	9136	48	18	15	129.6	504	993.6	48	0	Each	"""The Gu"" red shirt XML tag t-shirt (Black) XXL"		
9136:10 mm Anti static bubble wrap (Blue) 10m	26/06/2013 00:00	9136	90	26	15	351	810	2691	90	0	Each	10 mm Anti static bubble wrap (Blue) 10m		
9136:Furry animal socks (Pink) S	26/06/2013 00:00	9136	96	5	15	72	336	552	96	0	Pair	Furry animal socks (Pink) S		
9136:Halloween zombie mask (Light Brown) S	26/06/2013 00:00	9136	120	18	15	324	-120	2484	120	0	Each	Halloween zombie mask (Light Brown) S		
"9137:""The Gu"" red shirt XML tag t-shirt (Black) L"	26/06/2013 00:00	9137	120	18	15	324	1320	2484	120	0	Each	"""The Gu"" red shirt XML tag t-shirt (Black) L"		
9137:10 mm Double sided bubble wrap 20m	26/06/2013 00:00	9137	90	30	15	405	1440	3105	90	0	Each	10 mm Double sided bubble wrap 20m		
9137:Air cushion film 200mmx100mm 325m	26/06/2013 00:00	9137	9	87	15	117.45	468	900.45	9	0	Each	Air cushion film 200mmx100mm 325m		
9137:Animal with big feet slippers (Brown) XL	26/06/2013 00:00	9137	1	32	15	4.8	23.5	36.8	1	0	Each	Animal with big feet slippers (Brown) XL		
9137:Developer joke mug - Oct 31 = Dec 25 (White)	26/06/2013 00:00	9137	9	13	15	17.55	76.5	134.55	9	0	Each	Developer joke cup - Oct 31 = Dec 25 (White)		
"9138:""The Gu"" red shirt XML tag t-shirt (Black) 6XL"	26/06/2013 00:00	9138	36	18	15	97.2	360	745.2	36	0	Each	"""The Gu"" red shirt XML tag t-shirt (Black) 6XL"		
9138:Air cushion film 200mmx100mm 325m	26/06/2013 00:00	9138	1	87	15	13.05	52	100.05	1	0	Each	Air cushion film 200mmx100mm 325m		
9138:Bubblewrap dispenser (Blue) 1.5m	26/06/2013 00:00	9138	8	240	15	288	1040	2208	8	0	Each	Bubblewrap dispenser (Blue) 1.5m		
9138:Medium sized bubblewrap roll 20m	26/06/2013 00:00	9138	80	20	15	240	800	1840	80	0	Each	Medium sized bubblewrap roll 20m		
9138:Shipping carton (Brown) 356x229x229mm	26/06/2013 00:00	9138	200	1.14	15	34.2	116	262.2	200	0	Each	Shipping carton (Brown) 356x229x229mm		
9139:10 mm Anti static bubble wrap (Blue) 20m	26/06/2013 00:00	9139	80	42	15	504	1520	3864	80	0	Each	10 mm Anti static bubble wrap (Blue) 20m		
9139:IT joke mug - that behavior is by design (Black)	26/06/2013 00:00	9139	9	13	15	17.55	76.5	134.55	9	0	Each	IT joke cup - that behavior is by design (Black)		
9139:Permanent marker black 5mm nib (Black) 5mm	26/06/2013 00:00	9139	96	2.7	15	38.88	96	298.08	96	0	Each	Permanent marker black 5mm nib (Black) 5mm		
9139:Ride on big wheel monster truck (Black) 1/12 scale	26/06/2013 00:00	9139	5	345	15	258.75	700	1983.75	5	0	Each	Ride on big wheel monster truck (Black) 1/12 scale		
9139:Tape dispenser (Black)	26/06/2013 00:00	9139	60	32	15	288	900	2208	60	0	Each	Tape dispenser (Black)		
"9140:""The Gu"" red shirt XML tag t-shirt (White) 3XS"	26/06/2013 00:00	9140	60	18	15	162	660	1242	60	0	Each	"""The Gu"" red shirt XML tag t-shirt (White) 3XS"		
9140:DBA joke mug - I will get you in order (White)	26/06/2013 00:00	9140	7	13	15	13.65	59.5	104.65	7	0	Each	DBA joke cup - I will get you in order (White)		
9141:20 mm Anti static bubble wrap (Blue) 50m	26/06/2013 00:00	9141	90	102	15	1377	4230	10557	90	0	Each	20 mm Anti static bubble wrap (Blue) 50m		
9141:32 mm Double sided bubble wrap 50m	26/06/2013 00:00	9141	100	112	15	1680	5300	12880	100	0	Each	32 mm Double sided bubble wrap 50m		
9141:Developer joke mug - there are 10 types of people in the world (Black)	26/06/2013 00:00	9141	9	13	15	17.55	76.5	134.55	9	0	Each	Developer joke cup - there are 10 types of people in the world (Black)		
9141:Furry animal socks (Pink) M	26/06/2013 00:00	9141	12	5	15	9	42	69	12	0	Pair	Furry animal socks (Pink) M		
9141:Superhero action jacket (Blue) XS	26/06/2013 00:00	9141	9	25	15	33.75	54	258.75	9	0	Each	Superhero action jacket (Blue) XS		
"9142:""The Gu"" red shirt XML tag t-shirt (White) S"	26/06/2013 00:00	9142	96	18	15	259.2	1056	1987.2	96	0	Each	"""The Gu"" red shirt XML tag t-shirt (White) S"		
9142:Air cushion machine (Blue)	26/06/2013 00:00	9142	7	1899	15	1993.95	5313	15286.95	7	0	Each	Air cushion machine (Blue)		
"9142:Developer joke mug - (hip, hip, array) (Black)"	26/06/2013 00:00	9142	1	13	15	1.95	8.5	14.95	1	0	Each	"Developer joke cup - (hip, hip, array) (Black)"		
9142:Dinosaur battery-powered slippers (Green) M	26/06/2013 00:00	9142	3	32	15	14.4	72	110.4	3	0	Each	Dinosaur battery-powered slippers (Green) M		
9143:Developer joke mug - this code was generated by a tool (White)	26/06/2013 00:00	9143	5	13	15	9.75	42.5	74.75	5	0	Each	Developer joke cup - this code was generated by a tool (White)		
9143:Halloween zombie mask (Light Brown) S	26/06/2013 00:00	9143	36	18	15	97.2	-36	745.2	36	0	Each	Halloween zombie mask (Light Brown) S		
9143:Pack of 12 action figures (male)	26/06/2013 00:00	9143	1	16	15	2.4	10.5	18.4	1	0	Packet	Pack of 12 action figures (male)		
9143:Superhero action jacket (Blue) XXS	26/06/2013 00:00	9143	8	25	15	30	48	230	8	0	Each	Superhero action jacket (Blue) XXS		
9144:20 mm Double sided bubble wrap 10m	26/06/2013 00:00	9144	80	18	15	216	800	1656	80	0	Each	20 mm Double sided bubble wrap 10m		
9144:Furry animal socks (Pink) XL	26/06/2013 00:00	9144	36	5	15	27	126	207	36	0	Pair	Furry animal socks (Pink) XL		
9144:Red and white urgent  heavy despatch tape  48mmx100m	26/06/2013 00:00	9144	120	4.1	15	73.8	246	565.8	120	0	Each	Red and white urgent  heavy despatch tape  48mmx100m		
9145:Alien officer hoodie (Black) XXL	26/06/2013 00:00	9145	6	35	15	31.5	108	241.5	6	0	Each	Alien officer hoodie (Black) XXL		
9145:Clear packaging tape 48mmx75m	26/06/2013 00:00	9145	26	2.9	15	11.31	31.2	86.71	26	0	Each	Clear packaging tape 48mmx75m		
9145:Halloween zombie mask (Light Brown) L	26/06/2013 00:00	9145	60	18	15	162	-60	1242	60	0	Each	Halloween zombie mask (Light Brown) L		
9145:Pack of 12 action figures (male)	26/06/2013 00:00	9145	3	16	15	7.2	31.5	55.2	3	0	Packet	Pack of 12 action figures (male)		
9145:Shipping carton (Brown) 500x310x310mm	26/06/2013 00:00	9145	150	2.55	15	57.38	217.5	439.88	150	0	Each	Shipping carton (Brown) 500x310x310mm		
9146:Furry animal socks (Pink) XL	26/06/2013 00:00	9146	48	5	15	36	168	276	48	0	Pair	Furry animal socks (Pink) XL		
9146:Shipping carton (Brown) 279x254x217mm	26/06/2013 00:00	9146	75	1.11	15	12.49	38.25	95.74	75	0	Each	Shipping carton (Brown) 279x254x217mm		
9147:10 mm Double sided bubble wrap 20m	26/06/2013 00:00	9147	70	30	15	315	1120	2415	70	0	Each	10 mm Double sided bubble wrap 20m		
9147:Developer joke mug - there are 10 types of people in the world (Black)	26/06/2013 00:00	9147	7	13	15	13.65	59.5	104.65	7	0	Each	Developer joke cup - there are 10 types of people in the world (Black)		
9147:Furry animal socks (Pink) M	26/06/2013 00:00	9147	108	5	15	81	378	621	108	0	Pair	Furry animal socks (Pink) M		
9147:Halloween skull mask (Gray) XL	26/06/2013 00:00	9147	60	18	15	162	180	1242	60	0	Each	Halloween skull mask (Gray) XL		
9147:USB food flash drive - donut	26/06/2013 00:00	9147	9	32	15	43.2	180	331.2	9	0	Each	USB food flash drive - donut		
"9148:""The Gu"" red shirt XML tag t-shirt (Black) 3XL"	26/06/2013 00:00	9148	48	18	15	129.6	480	993.6	48	0	Each	"""The Gu"" red shirt XML tag t-shirt (Black) 3XL"		
9148:Small sized bubblewrap roll 10m	26/06/2013 00:00	9148	70	4.5	15	47.25	161	362.25	70	0	Each	Small sized bubblewrap roll 10m		
9148:Tape dispenser (Black)	26/06/2013 00:00	9148	80	32	15	384	1200	2944	80	0	Each	Tape dispenser (Black)		
9149:DBA joke mug - mind if I join you? (Black)	26/06/2013 00:00	9149	2	13	15	3.9	17	29.9	2	0	Each	DBA joke cup - mind if I join you? (Black)		
9149:Developer joke mug - a foo walks into a bar (White)	26/06/2013 00:00	9149	2	13	15	3.9	17	29.9	2	0	Each	Developer joke cup - a foo walks into a bar (White)		
"9150:""The Gu"" red shirt XML tag t-shirt (Black) 5XL"	26/06/2013 00:00	9150	96	18	15	259.2	960	1987.2	96	0	Each	"""The Gu"" red shirt XML tag t-shirt (Black) 5XL"		
"9150:""The Gu"" red shirt XML tag t-shirt (White) XXL"	26/06/2013 00:00	9150	120	18	15	324	1260	2484	120	0	Each	"""The Gu"" red shirt XML tag t-shirt (White) XXL"		
9150:USB food flash drive - hamburger	26/06/2013 00:00	9150	4	32	15	19.2	80	147.2	4	0	Each	USB food flash drive - hamburger		
9151:Developer joke mug - a foo walks into a bar (Black)	26/06/2013 00:00	9151	2	13	15	3.9	17	29.9	2	0	Each	Developer joke cup - a foo walks into a bar (Black)		
9151:Developer joke mug - Oct 31 = Dec 25 (White)	26/06/2013 00:00	9151	2	13	15	3.9	17	29.9	2	0	Each	Developer joke cup - Oct 31 = Dec 25 (White)		
9151:Permanent marker red 5mm nib (Red) 5mm	26/06/2013 00:00	9151	96	2.7	15	38.88	96	298.08	96	0	Each	Permanent marker red 5mm nib (Red) 5mm		
9151:Red and white urgent  heavy despatch tape  48mmx100m	26/06/2013 00:00	9151	24	4.1	15	14.76	49.2	113.16	24	0	Each	Red and white urgent  heavy despatch tape  48mmx100m		
"9152:""The Gu"" red shirt XML tag t-shirt (White) 3XL"	26/06/2013 00:00	9152	36	18	15	97.2	360	745.2	36	0	Each	"""The Gu"" red shirt XML tag t-shirt (White) 3XL"		
9152:DBA joke mug - it depends (White)	26/06/2013 00:00	9152	10	13	15	19.5	85	149.5	10	0	Each	DBA joke cup - it depends (White)		
9153:IT joke mug - that behavior is by design (Black)	26/06/2013 00:00	9153	4	13	15	7.8	34	59.8	4	0	Each	IT joke cup - that behavior is by design (Black)		
9153:USB food flash drive - donut	26/06/2013 00:00	9153	8	32	15	38.4	160	294.4	8	0	Each	USB food flash drive - donut		
"9154:""The Gu"" red shirt XML tag t-shirt (White) L"	26/06/2013 00:00	9154	72	18	15	194.4	792	1490.4	72	0	Each	"""The Gu"" red shirt XML tag t-shirt (White) L"		
9154:Superhero action jacket (Blue) XS	26/06/2013 00:00	9154	9	25	15	33.75	54	258.75	9	0	Each	Superhero action jacket (Blue) XS		
"9155:""The Gu"" red shirt XML tag t-shirt (White) XL"	26/06/2013 00:00	9155	72	18	15	194.4	756	1490.4	72	0	Each	"""The Gu"" red shirt XML tag t-shirt (White) XL"		
9155:Halloween skull mask (Gray) S	26/06/2013 00:00	9155	108	18	15	291.6	324	2235.6	108	0	Each	Halloween skull mask (Gray) S		
"9156:""The Gu"" red shirt XML tag t-shirt (White) M"	27/06/2013 00:00	9156	96	18	15	259.2	1056	1987.2	96	0	Each	"""The Gu"" red shirt XML tag t-shirt (White) M"		
9157:Black and orange glass with care despatch tape 48mmx75m	27/06/2013 00:00	9157	192	3.7	15	106.56	403.2	816.96	192	0	Each	Black and orange glass with care despatch tape 48mmx75m		
"9158:""The Gu"" red shirt XML tag t-shirt (White) XXS"	27/06/2013 00:00	9158	48	18	15	129.6	528	993.6	48	0	Each	"""The Gu"" red shirt XML tag t-shirt (White) XXS"		
"9159:""The Gu"" red shirt XML tag t-shirt (Black) 4XL"	27/06/2013 00:00	9159	36	18	15	97.2	360	745.2	36	0	Each	"""The Gu"" red shirt XML tag t-shirt (Black) 4XL"		
"9160:""The Gu"" red shirt XML tag t-shirt (White) XS"	27/06/2013 00:00	9160	24	18	15	64.8	264	496.8	24	0	Each	"""The Gu"" red shirt XML tag t-shirt (White) XS"		
9161:Halloween skull mask (Gray) M	27/06/2013 00:00	9161	96	18	15	259.2	288	1987.2	96	0	Each	Halloween skull mask (Gray) M		
"9162:""The Gu"" red shirt XML tag t-shirt (Black) 5XL"	27/06/2013 00:00	9162	108	18	15	291.6	1080	2235.6	108	0	Each	"""The Gu"" red shirt XML tag t-shirt (Black) 5XL"		
9162:32 mm Double sided bubble wrap 50m	27/06/2013 00:00	9162	40	112	15	672	2120	5152	40	0	Each	32 mm Double sided bubble wrap 50m		
9162:Ogre battery-powered slippers (Green) S	27/06/2013 00:00	9162	7	32	15	33.6	168	257.6	7	0	Each	Ogre battery-powered slippers (Green) S		
"9163:""The Gu"" red shirt XML tag t-shirt (White) 6XL"	27/06/2013 00:00	9163	36	18	15	97.2	360	745.2	36	0	Each	"""The Gu"" red shirt XML tag t-shirt (White) 6XL"		
9163:DBA joke mug - you might be a DBA if (Black)	27/06/2013 00:00	9163	5	13	15	9.75	42.5	74.75	5	0	Each	DBA joke cup - you might be a DBA if (Black)		
9163:IT joke mug - hardware: part of the computer that can be kicked (White)	27/06/2013 00:00	9163	10	13	15	19.5	85	149.5	10	0	Each	IT joke cup - hardware: part of the computer that can be kicked (White)		
9163:Small 9mm replacement blades 9mm	27/06/2013 00:00	9163	90	4.1	15	55.35	135	424.35	90	0	Each	Small 9mm replacement blades 9mm		
9164:Alien officer hoodie (Black) 5XL	27/06/2013 00:00	9164	7	35	15	36.75	126	281.75	7	0	Each	Alien officer hoodie (Black) 5XL		
9164:Alien officer hoodie (Black) XL	27/06/2013 00:00	9164	10	35	15	52.5	180	402.5	10	0	Each	Alien officer hoodie (Black) XL		
9164:Halloween zombie mask (Light Brown) L	27/06/2013 00:00	9164	84	18	15	226.8	-84	1738.8	84	0	Each	Halloween zombie mask (Light Brown) L		
9164:USB food flash drive - banana	27/06/2013 00:00	9164	1	32	15	4.8	20	36.8	1	0	Each	USB food flash drive - banana		
9165:Black and orange this way up despatch tape  48mmx100m	27/06/2013 00:00	9165	192	4.1	15	118.08	412.8	905.28	192	0	Each	Black and orange this way up despatch tape  48mmx100m		
9165:Plush shark slippers (Gray) M	27/06/2013 00:00	9165	1	32	15	4.8	24	36.8	1	0	Each	Plush shark slippers (Gray) M		
"9166:""The Gu"" red shirt XML tag t-shirt (White) 3XL"	27/06/2013 00:00	9166	84	18	15	226.8	840	1738.8	84	0	Each	"""The Gu"" red shirt XML tag t-shirt (White) 3XL"		
9166:Bubblewrap dispenser (Blue) 1.5m	27/06/2013 00:00	9166	6	240	15	216	780	1656	6	0	Each	Bubblewrap dispenser (Blue) 1.5m		
9166:DBA joke mug - two types of DBAs (Black)	27/06/2013 00:00	9166	10	13	15	19.5	85	149.5	10	0	Each	DBA joke cup - two types of DBAs (Black)		
9166:Developer joke mug - a foo walks into a bar (White)	27/06/2013 00:00	9166	4	13	15	7.8	34	59.8	4	0	Each	Developer joke cup - a foo walks into a bar (White)		
9166:Developer joke mug - inheritance is the OO way to become wealthy (White)	27/06/2013 00:00	9166	4	13	15	7.8	34	59.8	4	0	Each	Developer joke cup - inheritance is the OO way to become wealthy (White)		
9167:Medium sized bubblewrap roll 20m	27/06/2013 00:00	9167	80	20	15	240	800	1840	80	0	Each	Medium sized bubblewrap roll 20m		
9167:Permanent marker black 5mm nib (Black) 5mm	27/06/2013 00:00	9167	96	2.7	15	38.88	96	298.08	96	0	Each	Permanent marker black 5mm nib (Black) 5mm		
9167:Tape dispenser (Red)	27/06/2013 00:00	9167	50	32	15	240	750	1840	50	0	Each	Tape dispenser (Red)		
9168:DBA joke mug - two types of DBAs (White)	27/06/2013 00:00	9168	1	13	15	1.95	8.5	14.95	1	0	Each	DBA joke cup - two types of DBAs (White)		
9168:Ride on toy sedan car (Black) 1/12 scale	27/06/2013 00:00	9168	6	230	15	207	510	1587	6	0	Each	Ride on toy sedan car (Black) 1/12 scale		
9169:Animal with big feet slippers (Brown) S	27/06/2013 00:00	9169	9	32	15	43.2	216	331.2	9	0	Each	Animal with big feet slippers (Brown) S		
9169:Black and yellow heavy despatch tape 48mmx100m	27/06/2013 00:00	9169	216	4.1	15	132.84	367.2	1018.44	216	0	Each	Black and yellow heavy despatch tape 48mmx100m		
9169:Developer joke mug - this code was generated by a tool (Black)	27/06/2013 00:00	9169	3	13	15	5.85	25.5	44.85	3	0	Each	Developer joke cup - this code was generated by a tool (Black)		
9169:USB food flash drive - cookie	27/06/2013 00:00	9169	10	32	15	48	200	368	10	0	Each	USB food flash drive - cookie		
9170:DBA joke mug - daaaaaa-ta (Black)	27/06/2013 00:00	9170	10	13	15	19.5	85	149.5	10	0	Each	DBA joke cup - daaaaaa-ta (Black)		
9170:DBA joke mug - I will get you in order (White)	27/06/2013 00:00	9170	5	13	15	9.75	42.5	74.75	5	0	Each	DBA joke cup - I will get you in order (White)		
9170:Halloween skull mask (Gray) S	27/06/2013 00:00	9170	60	18	15	162	180	1242	60	0	Each	Halloween skull mask (Gray) S		
9170:IT joke mug - keyboard not found … press F1 to continue (White)	27/06/2013 00:00	9170	9	13	15	17.55	76.5	134.55	9	0	Each	IT joke cup - keyboard not found … press F1 to continue (White)		
9171:32 mm Anti static bubble wrap (Blue) 50m	27/06/2013 00:00	9171	30	105	15	472.5	1740	3622.5	30	0	Each	32 mm Anti static bubble wrap (Blue) 50m		
9171:Superhero action jacket (Blue) XXS	27/06/2013 00:00	9171	3	25	15	11.25	18	86.25	3	0	Each	Superhero action jacket (Blue) XXS		
9171:USB food flash drive - banana	27/06/2013 00:00	9171	5	32	15	24	100	184	5	0	Each	USB food flash drive - banana		
9172:Air cushion film 200mmx100mm 325m	27/06/2013 00:00	9172	7	87	15	91.35	364	700.35	7	0	Each	Air cushion film 200mmx100mm 325m		
9172:USB food flash drive - cookie	27/06/2013 00:00	9172	4	32	15	19.2	80	147.2	4	0	Each	USB food flash drive - cookie		
9173:20 mm Anti static bubble wrap (Blue) 10m	27/06/2013 00:00	9173	40	29	15	174	680	1334	40	0	Each	20 mm Anti static bubble wrap (Blue) 10m		
9173:20 mm Double sided bubble wrap 10m	27/06/2013 00:00	9173	30	18	15	81	300	621	30	0	Each	20 mm Double sided bubble wrap 10m		
9173:IT joke mug - hardware: part of the computer that can be kicked (Black)	27/06/2013 00:00	9173	4	13	15	7.8	34	59.8	4	0	Each	IT joke cup - hardware: part of the computer that can be kicked (Black)		
9173:Shipping carton (Brown) 500x310x310mm	27/06/2013 00:00	9173	175	2.55	15	66.94	253.75	513.19	175	0	Each	Shipping carton (Brown) 500x310x310mm		
9173:Superhero action jacket (Blue) XS	27/06/2013 00:00	9173	7	25	15	26.25	42	201.25	7	0	Each	Superhero action jacket (Blue) XS		
"9174:""The Gu"" red shirt XML tag t-shirt (Black) 3XS"	27/06/2013 00:00	9174	120	18	15	324	1320	2484	120	0	Each	"""The Gu"" red shirt XML tag t-shirt (Black) 3XS"		
9174:Black and yellow heavy despatch tape 48mmx100m	27/06/2013 00:00	9174	192	4.1	15	118.08	326.4	905.28	192	0	Each	Black and yellow heavy despatch tape 48mmx100m		
9175:Clear packaging tape 48mmx100m	27/06/2013 00:00	9175	40	3.5	15	21	68	161	40	0	Each	Clear packaging tape 48mmx100m		
9175:Dinosaur battery-powered slippers (Green) L	27/06/2013 00:00	9175	7	32	15	33.6	168	257.6	7	0	Each	Dinosaur battery-powered slippers (Green) L		
9175:Furry animal socks (Pink) XL	27/06/2013 00:00	9175	24	5	15	18	84	138	24	0	Pair	Furry animal socks (Pink) XL		
9175:USB food flash drive - banana	27/06/2013 00:00	9175	6	32	15	28.8	120	220.8	6	0	Each	USB food flash drive - banana		
9176:RC toy sedan car with remote control (Pink) 1/50 scale	27/06/2013 00:00	9176	2	25	15	7.5	25	57.5	2	0	Each	RC toy sedan car with remote control (Pink) 1/50 scale		
9176:Ride on toy sedan car (Green) 1/12 scale	27/06/2013 00:00	9176	1	230	15	34.5	85	264.5	1	0	Each	Ride on toy sedan car (Green) 1/12 scale		
9176:Superhero action jacket (Blue) 3XS	27/06/2013 00:00	9176	5	25	15	18.75	30	143.75	5	0	Each	Superhero action jacket (Blue) 3XS		
"9177:""The Gu"" red shirt XML tag t-shirt (Black) 5XL"	27/06/2013 00:00	9177	96	18	15	259.2	960	1987.2	96	0	Each	"""The Gu"" red shirt XML tag t-shirt (Black) 5XL"		
9177:10 mm Anti static bubble wrap (Blue) 10m	27/06/2013 00:00	9177	30	26	15	117	270	897	30	0	Each	10 mm Anti static bubble wrap (Blue) 10m		
9177:Air cushion film 200mmx100mm 325m	27/06/2013 00:00	9177	1	87	15	13.05	52	100.05	1	0	Each	Air cushion film 200mmx100mm 325m		
9177:Superhero action jacket (Blue) XXS	27/06/2013 00:00	9177	10	25	15	37.5	60	287.5	10	0	Each	Superhero action jacket (Blue) XXS		
9177:USB rocket launcher (Gray)	27/06/2013 00:00	9177	5	25	15	18.75	77.5	143.75	5	0	Each	USB rocket launcher (Gray)		
"9178:""The Gu"" red shirt XML tag t-shirt (White) 4XL"	27/06/2013 00:00	9178	108	18	15	291.6	1080	2235.6	108	0	Each	"""The Gu"" red shirt XML tag t-shirt (White) 4XL"		
9178:Air cushion film 200mmx200mm 325m	27/06/2013 00:00	9178	4	90	15	54	144	414	4	0	Each	Air cushion film 200mmx200mm 325m		
9178:Black and orange this way up despatch tape  48mmx100m	27/06/2013 00:00	9178	120	4.1	15	73.8	258	565.8	120	0	Each	Black and orange this way up despatch tape  48mmx100m		
9178:Developer joke mug - fun was unexpected at this time (Black)	27/06/2013 00:00	9178	3	13	15	5.85	25.5	44.85	3	0	Each	Developer joke cup - fun was unexpected at this time (Black)		
